Date,Tank_ID,pH_Treatment,Temp_Treatment,Temp_C,pH,mV,DO_mgL,DO_Percent,Conductivity,Salinity,TA,K1,K2,pCO2,pCO2insitu,HCO3,CO3,DIC,OmegaAragonite,OmegaCalcite
2022-08-24,TNK_5,Low,20,20.327,7.672732965943444,-71.7,7.72,104.6,50.7,33.3,2309.05626167513,NA,NA,1083.2653632955291,1083.2653785029845,2098.9305726108096,85.86055960175162,2219.8632113560097,1.3500000508771295,2.08291437430639
2022-08-24,TNK_6,Low,22,22.149,7.660297478573062,-71.8,7.16,99.9,50.7,33.3,2332.7088389982,NA,NA,1135.3155620157688,1135.3155780984976,2113.535121971635,89.91009940896384,2238.435572439297,1.4242132547804636,2.1867601774501195
2022-08-24,TNK_7,Low,24,22.445,7.6678111407120815,-72.4,7.51,104.4,50.4,33.1,2344.94745303148,NA,NA,1122.2614907532488,1122.2615063741448,2120.335818730465,92.3204024344971,2247.0163333074115,1.4657618718934329,2.2497644615615218
2022-08-24,TNK_8,Low,26,25.106,7.613702596293135,-70.4,6.4,95,50.7,33.3,2350.23394327319,NA,NA,1296.5868370001992,1296.5868567305145,2129.997252660252,90.74765263253352,2257.762104064462,1.4570687930581565,2.2183660321406116
2022-08-24,TNK_9,Low,12,12.479,7.610465410460343,-64.6,10.74,124.2,51.8,33.9,2343.95683298281,NA,NA,1240.4601213999024,1240.4601449084316,2198.9795342689026,58.666093912416855,2308.081927538825,0.8981938703491327,1.4089200164912248
2022-08-24,TNK_10,Ambient,14,13.994,7.974982844165518,-86.1,9.35,111.9,50.8,33.3,2339.62466463359,NA,NA,498.2003492108928,498.2003528841162,2019.0893474889465,130.28396762441395,2168.7686856177934,2.006949825026262,3.1425179519016075
2022-08-24,TNK_11,Ambient,16,16.175,7.9472314818470755,-85.6,8.81,109.6,50.8,33.3,2337.64352912003,NA,NA,537.322524368578,537.3225284495408,2012.6174438374433,132.44102993403916,2164.6438481995933,2.0527072699662305,3.1991199558369754
2022-08-24,TNK_12,Ambient,18,17.649,7.932516477613676,-85.5,8.41,107.9,50.5,33.2,2338.34317242632,NA,NA,560.3036606297744,560.3036649324087,2008.3048847128644,134.77252382953665,2162.6514938010437,2.099617721734691,3.261835757152611
2022-08-24,TNK_13,Ambient,20,21.765,7.978997915420806,-90.3,8.18,113.1,50.4,33.1,2340.03277984208,NA,NA,497.09387860951045,497.09388171758957,1930.8850876925537,167.8401150585594,2114.2226535154728,2.657028718869562,4.085802618723154
2022-08-24,TNK_14,Ambient,22,21.818,7.873022553265054,-84.1,7.49,104,50.7,33.3,2338.23312235786,NA,NA,657.9849788931023,657.9849843320885,2003.1849305436224,137.377479270903,2161.0213166944513,2.1730693848607627,3.339581252907455
2022-08-24,TNK_15,Ambient,24,23.942,7.854635222246903,-84.1,7.58,110.2,50.5,33.1,2346.1849972068194,NA,NA,695.428818025069,695.4288238396837,2001.9280507560447,141.6217204248542,2164.026137103288,2.2637538491528475,3.4599411242752347
2022-08-24,TNK_16,Ambient,26,24.194,7.941045352370749,-89.3,7.31,105.7,50.7,33.3,2345.24024289865,NA,NA,550.859430163356,550.8594337921118,1933.3281115113552,169.27765677012627,2118.7010468254753,2.706115879028634,4.131087683796201
