Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
8/23/2022,TNK_3,15.637,9.77,120.9,50.5,33.1,15.9,-70.1
8/23/2022,TNK_4,17.414,8.38,107.5,50.4,33.2,17.7,-72.3
8/23/2022,TNK_5,19.503,8.18,108.7,50.6,33.3,19.6,-71.9
8/23/2022,TNK_6,22.047,6.63,91.9,50.2,32.9,22.2,-72.7
8/23/2022,TNK_7,22.31,6.46,89.5,50.8,33.4,22.3,-72.6
8/23/2022,TNK_8,25.679,5.39,79.8,50.6,33.3,25.7,-71
8/23/2022,TNK_9,12.892,9.54,110.3,51.7,33.9,12.3,-62.8
8/23/2022,TNK_10,14.1,8.62,103.4,50.6,33.2,14.3,-87.2
8/23/2022,TNK_11,15.964,8.45,105,50.6,33,16.1,-87.6
8/23/2022,TNK_12,17.424,7.79,99.5,50.5,33.2,17.6,-86.1
8/23/2022,TNK_13,21.581,6.98,96.9,50.5,33.2,21.2,-90.6
8/23/2022,TNK_14,21.965,7.19,99.1,50.7,33.3,21.8,-84.6
8/23/2022,TNK_15,23.654,9.96,110,52.3,33.6,21,-80
8/23/2022,TNK_16,25.673,8.8,110.4,50.6,31.2,25.6,-85.6
8/23/2022,TNK_18,12.879,7.19,116.4,50.7,33.3,13,-88.9
8/23/2022,TNK_SMP,14.644,10.73,120.6,48.8,31.5,11.5,-86.6
8/24/2022,TNK_2,13.8,10.54,126,50.5,33.1,14.3,-67
8/24/2022,TNK_3,16.548,8.45,105.7,50.1,32.8,16.6,-71.4
8/24/2022,TNK_4,18.448,8.25,107,50.3,33,18.5,-71.7
8/24/2022,TNK_5,20.327,7.72,104.6,50.7,33.3,20.4,-71.7
8/24/2022,TNK_6,22.149,7.16,99.9,50.7,33.3,22.2,-71.8
8/24/2022,TNK_7,22.445,7.51,104.4,50.4,33.1,22.5,-72.4
8/24/2022,TNK_8,25.106,6.4,95,50.7,33.3,26,-70.4
8/24/2022,TNK_9,12.479,10.74,124.2,51.8,33.9,12.6,-64.6
8/24/2022,TNK_10,13.994,9.35,111.9,50.8,33.3,14.2,-86.1
8/24/2022,TNK_11,16.175,8.81,109.6,50.8,33.3,16.3,-85.6
8/24/2022,TNK_12,17.649,8.41,107.9,50.5,33.2,17.8,-85.5
8/24/2022,TNK_13,21.765,8.18,113.1,50.4,33.1,21.9,-90.3
8/24/2022,TNK_14,21.818,7.49,104,50.7,33.3,21.8,-84.1
8/24/2022,TNK_15,23.942,7.58,110.2,50.5,33.1,24.1,-84.1
8/24/2022,TNK_16,24.194,7.31,105.7,50.7,33.3,24.2,-89.3
8/24/2022,TNK_18,12.661,10.6,124.1,50.6,33.1,13.1,-87.7
8/24/2022,TNK_SMP,9.8,10.62,119.1,50.8,33.3,11.4,-85.3
8/25/2022,TNK_2,14.201,9.93,119.4,50,32.8,14.5,-49.4
8/25/2022,TNK_3,16.246,8.93,111.1,49.7,32.6,16.4,-52.4
8/25/2022,TNK_4,17.974,7.84,100.8,49.8,32.7,18,-51.5
8/25/2022,TNK_5,19.717,7.46,99.4,49.3,32.3,20,-43.3
8/25/2022,TNK_6,22.022,6.73,93.4,49.2,32.2,22.3,-58.8
8/25/2022,TNK_7,22.625,6.22,87.8,49.14,32.1,23.5,-63.5
8/25/2022,TNK_8,22.212,6.07,89.4,49.78,32.5,26.1,-45.4
8/25/2022,TNK_9,12.375,9.53,110.1,50.6,32.9,12.2,-47.2
8/25/2022,TNK_10,14.793,8.49,101.2,49.8,32.6,14.4,-70.8
8/25/2022,TNK_11,15.8,7.87,97.3,49.7,32.5,16,-63.8
8/25/2022,TNK_12,18.224,7.25,93.5,49.6,32.5,18.4,-64.8
8/25/2022,TNK_13,19.982,7.35,97.2,49.4,32.3,19.9,-67.5
8/25/2022,TNK_14,21.709,7.1,98.6,49.7,32.6,22,-65.2
8/25/2022,TNK_15,23.556,6.69,96.4,49.3,32.3,24.5,-54.3
8/25/2022,TNK_16,23.333,6.59,95.4,49.8,32.6,24.3,-68.5
8/25/2022,TNK_18,12.903,9.64,111.5,50.2,32.9,13,-65
8/25/2022,TNK_SMP,11.584,10.04,112.8,49.2,31.9,11.3,23
8/26/2022,TNK_2,14.025,10.31,99.6,50.4,33.1,13.8,-46.3
8/26/2022,TNK_3,16.302,7.68,9.57,49.9,32.7,16.4,-48.3
8/26/2022,TNK_4,18.681,6.7,87.4,49.8,32.7,18.8,-50.3
8/26/2022,TNK_5,20.743,7.04,95.8,49.7,32.6,20.9,-42.5
8/26/2022,TNK_6,22.617,6.05,84.7,49.7,32.6,22.8,-50.4
8/26/2022,TNK_7,24.084,6.79,97.7,49.8,32.6,24.1,-50.9
8/26/2022,TNK_8,22.802,6.5,91.3,49.9,32.7,22.9,-50.4
8/26/2022,TNK_9,12.318,9.43,107.5,50,32.7,12.5,-52.5
8/26/2022,TNK_10,14.022,8.7,103.4,49.81,32.6,14.2,-62.7
8/26/2022,TNK_11,16.022,7.76,96.5,49.9,32.7,16.1,-55.4
8/26/2022,TNK_12,17.901,7.65,98.5,49.8,32.7,18.1,-54.8
8/26/2022,TNK_13,20.017,7.71,103.3,49.6,32.5,20.1,-64
8/26/2022,TNK_14,21.749,7.07,97.2,49.8,32.6,22,-61.8
8/26/2022,TNK_15,25.201,7.02,102.7,49.8,32.6,25.3,-49.3
8/26/2022,TNK_16,24.905,6.48,93.8,49.9,32.7,25.1,-63.2
8/26/2022,TNK_18,12.914,9.25,107.8,50.8,33.3,13,-61.7
8/26/2022,TNK_SMP,11.442,12.04,124.8,49.8,32.1,11.4,-60.8
8/27/2022,TNK_2,12.51,9.81,113.6,49.6,32.5,12.8,-49.8
8/27/2022,TNK_3,16.315,8.41,104.9,50,32.8,16.4,-50.5
8/27/2022,TNK_4,18.143,7.58,97.8,49.9,32.8,18.2,-54.3
8/27/2022,TNK_5,20.298,7.48,100.5,49.8,32.6,20.4,-45.5
8/27/2022,TNK_6,22.492,6.96,97.2,50,32.8,22.5,-56.3
8/27/2022,TNK_7,25.085,7.11,103.7,49.7,32.2,25.2,-61.7
8/27/2022,TNK_8,25.282,6.57,96.6,50.1,32.8,25.4,-60.5
8/27/2022,TNK_9,12.446,9.46,111.09,49.7,32.2,12.7,-62.8
8/27/2022,TNK_10,13.927,8.6,102.3,50.1,32.8,14,-68.3
8/27/2022,TNK_11,16.347,8.31,103.8,50,32.7,16.5,-69.6
8/27/2022,TNK_12,18.346,7.69,99.8,49.9,32.8,18.4,-71.6
8/27/2022,TNK_13,21.212,7.67,104.9,49.8,32.7,21.3,-67.1
8/27/2022,TNK_14,21.912,7.16,99.3,50,32.8,22.1,-68.2
8/27/2022,TNK_15,25.873,7.03,104.1,49.8,31.6,26,-68.4
8/27/2022,TNK_16,27.728,6.28,100.6,50.6,31.1,27.8,-66.3
8/27/2022,TNK_18,13.004,10.07,118,50.7,33.2,13.2,-64.3
8/27/2022,TNK_SMP,11.841,9.86,112.8,50.2,32.8,11.8,-67.7
8/28/2022,TNK_2,13.786,9.98,126.2,49.8,32.6,13.8,-49.6
8/28/2022,TNK_3,16.214,8.67,104.4,50,32.9,16.2,-50.6
8/28/2022,TNK_4,18.089,7.56,95.6,49.8,32.8,18.1,-54.4
8/28/2022,TNK_5,20.187,7.34,99.8,49.7,32.7,20.2,-54.8
8/28/2022,TNK_6,22.213,7.14,103.9,50,32.9,22.2,-56.2
8/28/2022,TNK_7,25.067,6.87,104.1,49.8,32.6,25,-61.7
8/28/2022,TNK_8,26.103,6.49,96.8,50.1,32.9,26.1,-60.4
8/28/2022,TNK_9,12.454,9.46,112.56,50.1,32.6,12.4,-62.7
8/28/2022,TNK_10,13.933,8.7,104.6,50.2,32.9,14,-68.9
8/28/2022,TNK_11,16.312,8.22,102.8,50.1,32.6,16.4,-69.6
8/28/2022,TNK_12,18.258,7.89,99.9,49.9,32.8,18.3,-69.9
8/28/2022,TNK_13,20.372,7.63,105.2,49.8,32.7,20.3,-67.2
8/28/2022,TNK_14,21.876,6.99,99.1,50.1,32.9,22.2,-68.2
8/28/2022,TNK_15,25.969,7.01,104.3,50.1,32.7,26,-68.4
8/28/2022,TNK_16,26.897,5.98,99.8,50.6,32.9,26.9,-69.2
8/28/2022,TNK_18,12.034,10.32,118.2,50.8,33.2,12,-64.4
8/28/2022,TNK_SMP,11.812,10.54,114.9,50.2,32.8,11.8,-67.6
8/29/2022,TNK_2,13.1984,9.95,103.9,50,32.8,13.4,-49.9
8/29/2022,TNK_3,18.216,7.47,96.4,50.1,32.8,18.2,-49.9
8/29/2022,TNK_4,19.876,7.23,95.5,50.1,32.8,19.9,-56.2
8/29/2022,TNK_5,22.304,7.89,99,50,32.8,22.4,-48.4
8/29/2022,TNK_6,26.585,7.13,95,50,32.7,26.8,-58.3
