V1,V2,V3
-118.828915662651,34.1830508474576,347.288940429688
-118.812048192771,34.1830508474576,392.068939208984
-118.795180722892,34.1830508474576,387.850250244141
-118.778313253012,34.1830508474576,369.060241699219
-118.761445783133,34.1830508474576,322.100250244141
-118.744578313253,34.1830508474576,387.150238037109
-118.727710843374,34.1830508474576,414.290252685547
-118.710843373494,34.1830508474576,356.330230712891
-118.693975903614,34.1830508474576,348.750244140625
-118.677108433735,34.1830508474576,385.880249023438
-118.660240963855,34.1830508474576,320.633972167969
-118.643373493976,34.1830508474576,274.343963623047
-118.626506024096,34.1830508474576,264.693969726562
-118.609638554217,34.1830508474576,265.483978271484
-118.592771084337,34.1830508474576,266.673980712891
-118.575903614458,34.1830508474576,266.773956298828
-118.559036144578,34.1830508474576,245.783966064453
-118.542168674699,34.1830508474576,238.033966064453
-118.525301204819,34.1830508474576,233.243179321289
-118.50843373494,34.1830508474576,224.003173828125
-118.49156626506,34.1830508474576,215.83317565918
-118.474698795181,34.1830508474576,212.973175048828
-118.457831325301,34.1830508474576,211.26318359375
-118.440963855422,34.1830508474576,208.933181762695
-118.424096385542,34.1830508474576,207.943176269531
-118.407228915663,34.1830508474576,205.063186645508
-118.390361445783,34.1830508474576,202.408264160156
-118.373493975904,34.1830508474576,196.748260498047
-118.356626506024,34.1830508474576,190.518264770508
-118.339759036145,34.1830508474576,182.428268432617
-118.322891566265,34.1830508474576,173.238265991211
-118.306024096386,34.1830508474576,170.478271484375
-118.289156626506,34.1830508474576,180.858261108398
-118.272289156626,34.1830508474576,223.358261108398
-118.255421686747,34.1830508474576,321.494201660156
-118.238554216867,34.1830508474576,323.124206542969
-118.221686746988,34.1830508474576,303.444183349609
-118.204819277108,34.1830508474576,387.354187011719
-118.187951807229,34.1830508474576,413.494201660156
-118.171084337349,34.1830508474576,322.124206542969
-118.15421686747,34.1830508474576,312.404205322266
-118.13734939759,34.1830508474576,327.754180908203
-118.120481927711,34.1830508474576,336.313415527344
-118.103614457831,34.1830508474576,323.123413085938
-118.086746987952,34.1830508474576,320.973419189453
-118.069879518072,34.1830508474576,411.803405761719
-118.053012048193,34.1830508474576,474.123413085938
-118.036144578313,34.1830508474576,442.613403320312
-118.019277108434,34.1830508474576,358.163421630859
-118.002409638554,34.1830508474576,470.113403320312
-117.985542168675,34.1830508474576,470.711456298828
-117.968674698795,34.1830508474576,552.821472167969
-117.951807228916,34.1830508474576,829.081481933594
-117.934939759036,34.1830508474576,783.361450195312
-117.918072289157,34.1830508474576,544.75146484375
-117.901204819277,34.1830508474576,517.061462402344
-117.884337349398,34.1830508474576,534.271484375
-117.867469879518,34.1830508474576,476.941467285156
-117.850602409639,34.1830508474576,609.356079101562
-117.833734939759,34.1830508474576,605.156066894531
-117.81686746988,34.1830508474576,727.816101074219
-117.8,34.1830508474576,640.036071777344
-119.2,34.1661016949153,5.54818868637085
-119.18313253012,34.1661016949153,6.9681887626648
-119.166265060241,34.1661016949153,7.98818874359131
-119.149397590361,34.1661016949153,8.66818904876709
-119.132530120482,34.1661016949153,7.23818874359131
-119.115662650602,34.1661016949153,6.3281888961792
-119.098795180723,34.1661016949153,5.9381890296936
-119.081927710843,34.1661016949153,6.47818899154663
-119.065060240964,34.1661016949153,17.3106803894043
-119.048192771084,34.1661016949153,19.6306800842285
