time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-07-31T23:33:00Z,21.6402,1,0.0
2022-07-31T23:37:00Z,21.6247,1,0.0
2022-07-31T23:41:00Z,21.6345,1,0.0
2022-07-31T23:45:00Z,21.6338,1,0.0
2022-07-31T23:49:00Z,21.6372,1,0.0
2022-07-31T23:53:00Z,21.6577,1,0.0
2022-07-31T23:57:00Z,21.6546,1,0.0
2022-08-01T00:01:00Z,21.7632,1,0.0
2022-08-01T00:05:00Z,21.8041,1,0.0
2022-08-01T00:09:00Z,21.8955,1,0.0
2022-08-01T00:13:00Z,21.9701,1,0.0
2022-08-01T00:17:00Z,21.9525,1,0.0
2022-08-01T00:21:00Z,22.1699,1,0.0
2022-08-01T00:25:00Z,22.268,1,0.0
2022-08-01T00:29:00Z,22.1139,1,0.0
2022-08-01T00:33:00Z,22.015,1,0.0
2022-08-01T00:37:00Z,21.9502,1,0.0
2022-08-01T00:41:00Z,21.9637,1,0.0
2022-08-01T00:45:00Z,21.8387,1,0.0
2022-08-01T00:49:00Z,21.8994,1,0.0
2022-08-01T00:53:00Z,21.9301,1,0.0
2022-08-01T00:57:00Z,22.0777,1,0.0
2022-08-01T01:01:00Z,22.0905,1,0.0
2022-08-01T01:05:00Z,22.1259,1,0.0
2022-08-01T01:09:00Z,22.4097,1,0.0
2022-08-01T01:13:00Z,22.5828,1,0.0
2022-08-01T01:17:00Z,22.4256,1,0.0
2022-08-01T01:21:00Z,22.4434,1,0.0
2022-08-01T01:25:00Z,22.4217,1,0.0
2022-08-01T01:29:00Z,22.4233,1,0.0
2022-08-01T01:33:00Z,22.4693,1,0.0
2022-08-01T01:37:00Z,22.498,1,0.0
2022-08-01T01:41:00Z,22.086,1,0.0
2022-08-01T01:45:00Z,21.6934,1,0.0
2022-08-01T01:49:00Z,21.6335,1,0.0
2022-08-01T01:53:00Z,21.6655,1,0.0
2022-08-01T01:57:00Z,21.6386,1,0.0
2022-08-01T02:01:00Z,21.6747,1,0.0
2022-08-01T02:05:00Z,21.6666,1,0.0
2022-08-01T02:09:00Z,21.6257,1,0.0
2022-08-01T02:13:00Z,21.4268,1,0.0
2022-08-01T02:17:00Z,21.4294,1,0.0
2022-08-01T02:21:00Z,21.4939,1,0.0
2022-08-01T02:25:00Z,21.5334,1,0.0
2022-08-01T02:29:00Z,21.4947,1,0.0
2022-08-01T02:33:00Z,21.3528,1,0.0
2022-08-01T02:37:00Z,21.4065,1,0.0
2022-08-01T02:41:00Z,21.4117,1,0.0
2022-08-01T02:45:00Z,21.2933,1,0.0
2022-08-01T02:49:00Z,21.305,1,0.0
2022-08-01T02:53:00Z,21.3215,1,0.0
2022-08-01T02:57:00Z,21.2687,1,0.0
2022-08-01T03:01:00Z,21.2364,1,0.0
2022-08-01T03:05:00Z,21.0026,1,0.0
2022-08-01T03:09:00Z,20.8417,1,0.0
2022-08-01T03:13:00Z,20.8524,1,0.0
2022-08-01T03:17:00Z,20.7375,1,0.0
2022-08-01T03:21:00Z,20.2801,1,0.0
2022-08-01T03:25:00Z,19.8765,1,0.0
2022-08-01T03:29:00Z,20.3295,1,0.0
2022-08-01T03:33:00Z,20.6469,1,0.0
2022-08-01T03:37:00Z,20.7748,1,0.0
