Time_Point,Cage_ID,Placement_Time_Before,Collection_Time_After,Date_Time_Measured,Drying_Duration,Algae_ID,Treatment_Control,Disk_Weight,Algae_Weight_Before,Disk_and_Algae_Weight_Before,Disk_and_Algae_Weight_After,Algae_Weight_After,Condition ,Notes
2,161660,8/28/22 1:30,8/30/22 17:30,8/30/22 21:43,4:13,Control-60,C,14.4608,1.2401,15.7401,15.3387,0.8087,control,
2,161661,8/28/22 1:30,8/30/22 17:30,8/30/22 21:45,4:15,61,T,14.5384,1.1889,15.7623,15.18,0.5603,consumed,
2,161662,8/28/22 1:30,8/30/22 17:30,8/30/22 21:46,4:16,62,T,14.566,1.5986,16.2007,15.6996,1.0696,partially_consumed,
2,161663,8/28/22 1:30,8/30/22 17:30,8/30/22 21:47,4:17,63,T,14.6004,1.3454,15.9811,15.1845,0.5419,consumed,
2,161664,8/28/22 1:30,8/30/22 17:30,8/30/22 21:48,4:18,64,T,14.5191,2.161,16.7255,15.9917,1.4017,consumed,
2,161665,8/28/22 1:30,8/30/22 17:30,8/30/22 21:49,4:19,Control-65,C,14.56,1.4819,16.1949,15.7871,1.1469,control,slightly degraded
2,161666,8/28/22 1:30,8/30/22 17:30,8/30/22 21:51,4:21,66,T,14.5842,1.4913,16.1253,15.2179,0.5883,degraded,
2,161667,8/28/22 1:30,8/30/22 17:30,8/30/22 21:53,4:23,67,T,14.5353,1.7893,16.3974,15.1518,0.5757,degraded,
2,161668,8/28/22 1:30,8/30/22 17:30,8/30/22 21:55,4:25,68,T,14.5963,2.3065,16.9335,15.9321,1.2766,partially_consumed,degraded
2,161669,8/28/22 1:30,8/30/22 17:30,8/30/22 21:57,4:27,69,T,14.5524,1.1752,15.766,15.0768,0.4786,degraded,
2,161670,8/28/22 1:30,8/30/22 17:30,8/30/22 22:02,4:32,Control-70,C,14.6159,1.168,15.8352,15.4116,0.731,control_degraded,
2,161671,8/28/22 1:30,8/30/22 17:30,8/30/22 22:06,4:36,71,T,14.6005,1.4766,16.1224,15.2358,0.5643,consumed_degraded,
2,161672,8/28/22 1:30,8/30/22 17:30,8/30/22 22:10,4:40,72,T,14.5865,2.1538,16.771,15.4201,0.7088,degraded,stuck on clip. lost some algae
2,161673,8/28/22 1:30,8/30/22 17:30,8/30/22 22:14,4:44,73,T,14.5821,1.6739,16.3504,14.746,0.0949,degraded,
2,161674,8/28/22 1:30,8/30/22 17:30,8/30/22 22:17,4:47,74,T,14.55,1.473,16.0917,16.1203,1.461,degraded,
2,161675,8/28/22 1:30,8/30/22 17:30,8/30/22 22:20,4:50,Control-75,C,14.566,1.0281,15.6919,15.3603,0.7392,control,
2,161676,8/28/22 1:30,8/30/22 17:30,8/30/22 22:23,4:53,76,T,14.5814,1.3725,15.9875,14.814,0.1763,degraded,
2,161677,8/28/22 1:30,8/30/22 17:30,8/30/22 22:25,4:55,77,T,14.6278,1.9043,16.5264,14.7317,0.0692,degraded,
2,161678,8/28/22 1:30,8/30/22 17:30,8/30/22 22:29,4:59,78,T,14.6057,1.9388,16.5204,15.23,0.5704,degraded,
